Date,Description,Category,Amount,Type
,,,,
01-08-2018,To Aditya for Food,OutsideFood,110,Debit
02-08-2018,To Akku for BLR trip,Travel,2522,Debit
07-08-2018,Dinner Swiggy,OutsideFood,200,Debit
09-08-2018,Ola bike,Transport,56,Debit
10-08-2018,Wifi C310,Utilities,400,Debit
10-08-2018,Ola bike,Transport,73,Debit
10-08-2018,Furlenco Furniture,Utilities,1000,Debit
12-08-2018,Shruti Book Amazon,Family,478,Debit
13-08-2018,Ola share,Transport,78,Debit
14-08-2018,Ola Share,Transport,52,Debit
14-08-2018,Honeywell Extention,Shopping,599,Debit
15-08-2018,Ola Share,Transport,45,Debit
15-08-2018,Daily needs,DailyNeeds,350,Debit
15-08-2018,Grocery,Grocery,145,Debit
15-08-2018,APY Contribution,Investment,248,Debit
16-08-2018,Ola Share,Transport,53,Debit
16-08-2018,Dinner Swiggy,OutsideFood,150,Debit
17-08-2018,Ola Bike,Transport,56,Debit
17-08-2018,Dinner Swiggy,OutsideFood,167,Debit
18-08-2018,Ola Bike,Transport,67,Debit
18-08-2018,MacD,OutsideFood,89,Debit
19-08-2018,Zomato Dinner,OutsideFood,130,Debit
20-08-2018,"Initial House Setup utensils, etc",Shopping,500,Debit
20-08-2018,Router Wifi Payment,Utilities,5000,Debit
21-08-2018,Ola Share,Transport,35,Debit
21-08-2018,Ola Share,Transport,55,Debit
22-08-2018,Ola Share,Transport,39,Debit
22-08-2018,Slipper Amazon,Shopping,219,Debit
25-08-2018,Ola Share,Transport,71,Debit
25-08-2018,Dinner Swiggy,OutsideFood,192,Debit
26-08-2018,Ola cab,Transport,115,Debit
27-08-2018,Ola Share,Transport,50,Debit
27-08-2018,Local auto To&Fro,Transport,500,Debit
31-08-2018,Lifestyle clothes shopping Formals,Shopping,2095,Debit
31-08-2018,Ola Bike,Transport,43,Debit
31-08-2018,Mum Naani first Salary,Family,2600,Debit
31-08-2018,Alcohol snacks treat C310,Friends,3300,Debit
31-08-2018,Rent + Maintenance,Utilities,10000,Debit
31-08-2018,Salary Credited,Paycheck,37990,Credit
31-08-2018,Non Salary Benefits,Paycheck,6939,Credit
31-08-2018,EPF Employer,Investment,2172,Debit
31-08-2018,EPF Employee,Investment,2172,Debit
31-08-2018,Professional Tax (State),TaxAndFees,200,Debit
31-08-2018,Gratuity,Investment,818,Debit
31-08-2018,Medical Insurance Employer,Insurance,1577,Debit
,,,,
01-09-2018,Lunch Swiggy,OutsideFood,138,Debit
01-09-2018,Ola Bike,Transport,54,Debit
02-09-2018,Maid C310,Utilities,500,Debit
02-09-2018,Water C310,Utilities,200,Debit
02-09-2018,Ola Share,Transport,88,Debit
03-09-2018,Lunch Swiggy,OutsideFood,114,Debit
03-09-2018,Kitsons Stationary,Education,293,Debit
03-09-2018,Train ticket Mom Dad Puri trip,Family,2420,Debit
04-09-2018,BOB Education Loan Recovery,DebtRepay,3950,Debit
04-09-2018,Purple Run Hyd,Self,800,Debit
05-09-2018,Grocery,Grocery,188,Debit
06-09-2018,Movie Tickets,Entertainment,170,Debit
08-09-2018,Ola Bike,Transport,84,Debit
08-09-2018,Ola Cab,Transport,191,Debit
09-09-2018,Lunch Swiggy,OutsideFood,116,Debit
10-09-2018,Furlenco Furniture,Utilities,2000,Debit
10-09-2018,Swiggy Breakfast,OutsideFood,78,Debit
10-09-2018,C310 Wifi,Utilities,400,Debit
12-09-2018,Food ,OutsideFood,200,Debit
12-09-2018,Breakfast office,OutsideFood,28,Debit
13-09-2018,Lunch Swiggy,OutsideFood,126,Debit
13-09-2018,Grocery,Grocery,162,Debit
14-09-2018,Dominos Pizza,OutsideFood,148,Debit
15-09-2018,Local auto To&Fro,Transport,500,Debit
15-09-2018,Star Bazaar,DailyNeeds,496,Debit
15-09-2018,Ola Bike,Transport,80,Debit
15-09-2018,Daily needs Ratnadeep,DailyNeeds,124,Debit
17-09-2018,Snacks,OutsideFood,10,Debit
17-09-2018,Vada,OutsideFood,35,Debit
17-09-2018,Foodpanda food,OutsideFood,80,Debit
18-09-2018,Idli office,OutsideFood,25,Debit
19-09-2018,Office Lunch,OutsideFood,70,Debit
19-09-2018,Office breakfast,OutsideFood,35,Debit
20-09-2018,Snacks,Snacks,35,Debit
20-09-2018,Lunch office,OutsideFood,55,Debit
21-09-2018,MacD,OutsideFood,78,Debit
21-09-2018,Office Snacks,Snacks,20,Debit
21-09-2018,Office Lunch,OutsideFood,70,Debit
21-09-2018,BBS HYD Flight ticket Puri trip,Travel,1350,Debit
23-09-2018,MacD,OutsideFood,62,Debit
23-09-2018,Ola Cab,Transport,134,Debit
23-09-2018,Lunch Swiggy,OutsideFood,149,Debit
23-09-2018,Lunch Swiggy,OutsideFood,80,Debit
24-09-2018,Office Lunch,OutsideFood,35,Debit
24-09-2018,Office Breakfast,OutsideFood,35,Debit
25-09-2018,Auto,Transport,40,Debit
25-09-2018,Office Lunch,OutsideFood,70,Debit
25-09-2018,Idli office,OutsideFood,25,Debit
25-09-2018,APY Contribution,Investment,248,Debit
26-09-2018,Breakfast office,OutsideFood,35,Debit
26-09-2018,Stationary,Education,80,Debit
26-09-2018,Banana,Grocery,25,Debit
26-09-2018,Auto,Transport,40,Debit
26-09-2018,Train ticket Hyd BBS 29 nov,Travel,1385,Debit
26-09-2018,DTH Home recharge,Family,250,Debit
26-09-2018,Lunch,OutsideFood,70,Debit
27-09-2018,Snacks,Snacks,85,Debit
27-09-2018,MacD Burger,OutsideFood,80,Debit
27-09-2018,JIO Recharge,Utilities,100,Debit
27-09-2018,Idea Papa recharge,Family,100,Debit
27-09-2018,Cab forum uber,Transport,110,Debit
27-09-2018,"Kulfi, Dosa",OutsideFood,55,Debit
27-09-2018,Auto,Transport,40,Debit
28-09-2018,Auto,Transport,30,Debit
28-09-2018,Cab from Inorbit,Transport,120,Debit
28-09-2018,Sambhar Vada ,OutsideFood,35,Debit
28-09-2018,Mobile recharge,Utilities,10,Debit
28-09-2018,Dominos Pizza,OutsideFood,200,Debit
28-09-2018,Geet Chocolava,Friends,100,Debit
28-09-2018,Salary Credited,Paycheck,35676,Credit
28-09-2018,Non Salary Benefits,Paycheck,6675,Credit
28-09-2018,EPF Employer,Investment,2040,Debit
28-09-2018,EPF Employee,Investment,2040,Debit
28-09-2018,Professional Tax (State),TaxAndFees,200,Debit
28-09-2018,Gratuity,Investment,818,Debit
28-09-2018,Medical Insurance Employer,Insurance,1577,Debit
29-09-2018,Lunch Swiggy,OutsideFood,140,Debit
29-09-2018,Swiggy Super,OutsideFood,130,Debit
29-09-2018,Papa Mummy Train ticket BBS-RIG,Family,3510,Debit
29-09-2018,Swiggy Dinner,OutsideFood,180,Debit
29-09-2018,BOB Education Loan Recovery,DebtRepay,3863,Debit
30-09-2018,Cab to Moti's place,Transport,160,Debit
30-09-2018,Cab back to home,Transport,87,Debit
30-09-2018,Breakfast Swiggy,OutsideFood,110,Debit
30-09-2018,Dinner Swiggy,OutsideFood,80,Debit
30-09-2018,Rent + Maintenance,Utilities,10000,Debit
30-09-2018,Cab ,Transport,20,Debit
,,,,
01-10-2018,Auto,Transport,40,Debit
01-10-2018,Dosa Office,OutsideFood,35,Debit
01-10-2018,Panipuri,OutsideFood,20,Debit
01-10-2018,Grocery,Grocery,199,Debit
01-10-2018,Dab Paani,Grocery,25,Debit
01-10-2018,Snacks,Snacks,30,Debit
02-10-2018,Maid C310,Utilities,500,Debit
02-10-2018,Daab,Grocery,25,Debit
02-10-2018,Foodpanda food,OutsideFood,70,Debit
